Aggregate,Total Volume Allocated (GB),Total Volume Used (GB),Total Volume Available (GB),Aggregate Size (GB),Aggregate Used Size (GB),Aggregate Available Size (GB),% Logically Allocated,% Logically Used,Aggregate % Used
emclus0013c01_aggr1_val,556698.31,298232.80,258465.51,292249.60,159539.20,132608.00,190.49%,102.05%,55.00%
emclus0013c01_aggr2_val,230679.20,142137.50,88541.70,74301.44,54968.32,19333.12,310.46%,191.30%,74.00%
emclus0013c01_aggr0_root,348.60,202.00,146.60,368.40,350.60,17.85,94.63%,54.83%,95.00%
emclus0013c02_aggr1_val,536036.08,305785.80,230250.28,292249.60,164659.20,127590.40,183.42%,104.63%,56.00%
emclus0013c02_aggr2_val,208168.81,127723.19,80445.62,74301.44,41564.16,32737.28,280.17%,171.90%,56.00%
emclus0013c02_aggr0_root,348.60,178.00,170.60,368.40,350.80,17.61,94.63%,48.32%,95.00%
emclus0013c03_aggr1_val,526424.22,256346.82,270077.39,220876.80,151040.00,69836.80,238.33%,116.06%,68.00%
emclus0013c03_aggr2_val,390013.35,181349.86,208663.49,145612.80,88002.56,57651.20,267.84%,124.54%,60.00%
emclus0013c03_aggr0_root,348.60,265.33,83.27,368.40,350.60,17.85,94.63%,72.02%,95.00%
emclus0013c04_aggr2_val,487674.30,234034.52,253639.79,288358.40,145100.80,143257.60,169.12%,81.16%,50.00%
emclus0013c04_aggr1_val,400895.12,199939.81,200955.31,220876.80,119808.00,101007.36,181.50%,90.52%,54.00%
emclus0013c04_aggr0_root,348.60,216.40,132.20,368.40,350.60,17.85,94.63%,58.74%,95.00%
emclus0013n05_aggr1_cap,167295.12,55746.32,111548.80,380620.80,57927.68,322662.40,43.95%,14.65%,15.00%
emclus0013n05_aggr2_cap,125555.55,33127.04,92428.51,147046.40,34109.44,112947.20,85.38%,22.53%,23.00%
emclus0013n05_aggr0_root,7362.56,512.00,6850.56,7782.40,7403.52,377.30,94.61%,6.58%,95.00%
emclus0013n06_aggr1_cap,172218.40,15918.81,156299.59,380620.80,17899.52,362700.80,45.25%,4.18%,5.00%
emclus0013n06_aggr2_cap,115449.60,11023.12,104426.48,147046.40,12113.92,134963.20,78.51%,7.50%,8.00%
emclus0013n06_aggr0_root,7362.56,491.52,6871.04,7782.40,7403.52,377.40,94.61%,6.32%,95.00%
emclus0013n07_aggr2_cap,164152.96,37211.38,126941.58,129740.80,38092.80,91658.24,126.52%,28.68%,29.00%
emclus0013n07_aggr1_cap,284806.25,68997.18,215809.07,259481.60,71188.48,188313.60,109.76%,26.59%,27.00%
emclus0013n07_aggr0_root,7362.56,501.76,6860.80,7782.40,7403.52,377.40,94.61%,6.45%,95.00%
emclus0013n08_aggr1_cap,105.00,0.00,105.00,259481.60,69.55,259481.60,0.04%,0.00%,0.00%
emclus0013n08_aggr0_root,7362.56,440.32,6922.24,7782.40,7403.52,377.40,94.61%,5.66%,95.00%
Total Aggregates,23,,,,,,,,
